zircon 	SIMS_Age206Pb238U	SIMS_Age206Pb238U_sigma	SIMS_Age207Pb206Pb	SIMS_Age207Pb206Pb_sigma	SIMS_Discordance	d18O	d18O_sigma	Clean	CL_Description	CL_Category	SIMS_232Th	SIMS_232Th_sigma	SIMS_238U	SIMS_238U_sigma	LAICPMS	TIMS_Loaded	N_TIMS_Fragments
RSES100 z1.11	4048	42	4055	10	0	6.5859695736	0.269475512	1	altered	patchy	20.0980479882	2.568190126	63.4502400998	10.5178676035		1	4
RSES100 z1.12	3753	24	3946	7	5	6.1057939465	0.2444831675	1	altered magmatic	cloudy	89.5725608383	10.8046136057	127.3187684891	24.6506674895		1	2
RSES100 z1.18	4008	28	4069	8	2	6.1244955236	0.2515026582	1	altered magmatic	cloudy	36.9385661755	2.7954095712	108.1306403553	6.2372942373		1	1
RSES100 z1.7	3905	32	4075	9	4												
RSES100 z10.13	3863	65	3995	22	3	6.32719321	0.2479743592	1	cloudy overprinted osc	altered magmatic							
RSES100 z10.5	3958	28	4078	8	3	5.943494324	0.2558937569	1	faded osc or patches	altered magmatic							
RSES100 z11.19	3771	22	3928	6	4	5.769560278	0.2380903201	1	wide oscillatory; patches?	altered magmatic							
RSES100 z13.18	4019	34	4244	8	6				altered/bright osc	altered magmatic							
RSES100 z13.18B	4218	32	4143	11	-2												
RSES100 z13.4	4081	24	4069	6	0	5.8728214864	0.2358457141	1	altered magmatic	bright replacement	69.7328077929	7.2886656982	142.9095631153	9.9191222307			
RSES100 z14.13	4202	20	4160	5	-1												
RSES100 z15.2	4056	29	4089	8	1				magmatic	unaltered (apparently)	77.9015011683	4.2111533218	87.5998149447	2.8200371319		1	1
RSES100 z16.2	4072	46	4114	13	1	6.7483160933	0.2722753256	1	altered	patchy	43.8547948341	3.3666722363	86.6762192205	6.122796405		1	2
RSES100 z16.3	3948	15	3973	4	1	6.1853004003	0.2452487435	1	altered magmatic	bright replacement	85.2919451032	4.7797774189	408.0411752565	14.0945035923			
RSES100 z17.1	3882	16	3936	4	1	5.4453062488	0.2424424541	1	altered magmatic	bright replacement	122.0525281673	6.1672704802	180.3004156678	17.3160936998		1	1
RSES100 z17.8	4119	22	4180	6	1				osc + faded core; local bright replacement	altered magmatic							
RSES100 z2.18	3848	33	3925	10	2	6.4928967905	0.2758970636	1	faded osc with bright replacement	altered magmatic						1	1
RSES100 z20.17	4047	46	4024	11	-1	6.634241163	0.27703276	1	altered	patchy	0	#DIV/0!	16.8860515591	16.8871118813			
RSES100 z3.2	4055	32	4125	9	2											1	2
RSES100 z4.11	3844	25	4114	8	7	5.6956358984	0.2271201517	1									
RSES100 z4.19	4046	24	4051	6	0	5.916673011	0.2522344728	1	dark region; ambiguous	darkened/faded/homogeneous	67.847649687	4.384218301	161.8970863662	11.0450491804			
RSES100 z4.6	4178	34	4145	23	-1	9.0150042906	0.3636823777	1	altered magmatic	bright replacement	1.1871107811	0.3784036451	9.8160848765	3.3090986762		1	1
RSES100 z6.1	4082	38	4132	21	1	5.5833977766	0.241404536	1	altered	patchy	23.7992921239	9.463949236	55.212156606	3.5994072949			
RSES100 z6.13	4004	24	4011	14	0	4.924640066	0.2407367575	1	altered	cloudy	42.1571285265	3.4916538628	129.0071025573	6.9774117156		1	3
RSES100 z7.18	3605	18	3908	5	8				altered	cloudy	194.3673101377	18.8986988505	334.7932842425	15.5613687438			
RSES100 z7.19	3904	22	3912	7	0	6.3185693287	0.2608273721	1	magmatic	unaltered (apparently)	38.4979908063	2.4906528023	122.5858486919	5.6114891091			
RSES100 z8.6	3950	24	4054	7	3				altered magmatic	bright replacement	53.9162045023	3.2138982427	117.5414491508	13.9285619593			
RSES100 z9.14	4183	26	4242	6	1	8.3882565515	0.3648473491	1		dark region/ambiguous						1	4
RSES58 z1.19	4077	114	3998	11	-2				yes						1		
RSES58 z12.3	4261	118	3926	18	-8	6.15	0.15	1	yes						1		
RSES58 z13.15	4232	125	4020	14	-5				osc	magmatic					0		
RSES58 z13.17	3784	107	4051	10	7				yes						0		
RSES58 z13.9	3597	104	3951	22	10				yes						1		
RSES58 z17.1	3954	119	3996	15	1	5.62	0.13	1	yes						0		
RSES58 z17.2	4131	125	3970	14	-4				yes						1		
RSES58 z17.7	3908	109	3910	6	0	5.89	0.19	1	Group II: alt or ambiguous	darkened/faded/homogeneous	88.3578509245	7.1495529739	447.1650442372	10.0671077017			
RSES58 z18.17	3670	113	3982	15	9				yes						1		
RSES58 z19.12	4033	133	4059	20	1	6.54	1.11	1	patchy, cloudy	altered							
RSES58 z19.19	3732	124	3956	17	6				osc	magmatic					1		
RSES58 z3.13	4030	111	3902	8	-3	5.93	0.1	1	magmatic	unaltered (apparently)	103.3387337514	5.5554418538	238.1442073196	8.4722624009			
RSES58 z3.15	3917	111	4104	19	5				yes						0		
RSES58 z3.4	4335	117	4133	7	-5				yes						0		
RSES58 z4.16	4305	117	4119	6	-4				missing								
RSES58 z4.19	4251	120	3974	16	-7	5.77	0.07	1	yes						1		
RSES58 z4.7	4259	126	3985	18	-6	6.26	0.11	1	osc	magmatic					1		
RSES58 z5.14	4003	112	4074	6	2				yes						0		
RSES58 z6.12	4015	110	4057	8	1	6.76	1.11	1	homogeneous? BETTER PIC NEEDED	ambiguous							
RSES58 z6.16	4359	119	4074	7	-7				yes						0		
RSES58 z7.9	4403	127	4025	21	-9	DO NOT USE CONTAINS GRAPHITE!			altered magmatic	darkened/faded/homogeneous	23.8177808538	1.8932371424	40.6547522673	1.3366513321			
RSES58 z8.12	4030	112	4000	16	-1				yes						0		
RSES58 z8.2	4134	113	3996	6	-3	5.66	0.17	1	yes						1		
RSES59 z10.19	4059	78	3961	11	-2				yes						1		
RSES59 z11.7	4135	71	4016	6	-3				yes						0		
RSES59 z12.2	3914	67	4025	5	3	5.59	0.23	1	yes						0		
RSES59 z14.12	4154	69	3910	6	-6				Group II: alt or ambiguous	darkened/faded/homogeneous	74.6726423891	1.9438581357	375.3827887173	10.4394329597			
RSES59 z14.14	4059	71	3846	6	-5				patchy	altered							
RSES59 z14.18	3727	67	4067	8	9				no						0		
RSES59 z15.9	4049	67	3860	4	-5				yes						1		
RSES59 z16.12	3951	79	3912	14	-1				cloudy	altered							
RSES59 z16.14	4005	78	3939	14	-2				yes						1		
RSES59 z17.1	4239	71	4077	6	-4	5.95	0.23	1	yes						0		
RSES59 z17.13	3723	91	3801	22	2				yes						1		
RSES59 z17.15	3862	78	3978	12	3				yes						1		
RSES59 z18.19	3901	91	4015	21	3	6.08	0.22	1	osc	magmatic							
RSES59 z18.9	3923	71	4099	9	4				yes						0		
RSES59 z2.17	3947	68	4048	8	3				yes						0		
RSES59 z2.9	4002	73	3965	14	-1				yes						0		
RSES59 z4.11	4257	74	4003	8	-6				osc	altered magmatic					0		
RSES59 z4.18	4327	70	4245	3	-2	5.4	0.23	1	faint; patchy/swoopy	altered							
RSES59 z5.2	4031	67	4004	4	-1				yes						0		
RSES59 z6.12	4053	68	3875	6	-4				Group II: alt or ambiguous	darkened/faded/homogeneous	61.8948553546	1.6673510762	247.2502672266	6.2055214547			
RSES59 z6.4	4213	77	3945	9	-6	6.66	0.13	1	yes						1		
RSES59 z8.11	3885	68	3964	7	2				yes						1		
RSES59 z8.14	4271	73	4097	6	-4				altered magmatic	darkened/faded/homogeneous	380.6675336241	5.9300205961	187.7845414526	5.012390099			
RSES59 z8.4	4455	72	4108	5	-8				yes						0		
RSES59 z9.14	4203	81	3951	12	-6				yes						1		
RSES59 z9.15	4279	78	4103	9	-4	5.48	0.23	1	cloudy	altered							
RSES59 z9.9	4195	74	4028	11	-4				yes						0		
RSES60 z10.19	4111	48	4023	8	-2				osc	magmatic					0	1	
RSES60 z11.10	3951	40	3905	5	-1				yes						0		
RSES60 z15.15	4070	52	4028	12	-1				yes						0	1	
RSES60 z16.1	3864	40	4162	5	8				yes						0	1	
RSES60 z16.16	4154	53	3987	10	-4				yes						0	1	
RSES60 z16.8	3981	51	3979	9	0				osc	magmatic					0		
RSES60 z17.4	3756	44	3894	8	4				yes						0		
RSES60 z18.11	3891	49	3828	11	-2				yes						0	1	
