analysis,Age206Pb238Uu,Age206Pb238Uu_sigma,Age206Pb238U,Age206Pb238U_sigma,Age207Pb235Uu,Age207Pb235Uu_sigma,Age207Pb235U,Age207Pb235U_sigma,Age207Pb206Pbu,Age207Pb206Pbu_sigma,Age207Pb206Pb,Age207Pb206Pb_sigma,Discordance,Upg,Th_U,Pbradpg,Pbcpg,r206Pb_238U,r206Pb_238U_2sigma,r207Pb_235U,r207Pb_235U_2sigma,Corr6875
RSES100 z1.11a L1,2082.930843239,6.520478623,2083.0001575243,6.5197401836,3158.3393941964,6.8741393466,3158.3391838055,6.8741407838,3937.0777227902,6.6904823313,3937.0189492187,6.6912851032,47.0944952094,10.08773441,0.3447459477,4.9886826586,1.9643303946,0.3814385717,0.3662849327,21.4320411475,0.7085879622,0.8428383861
RSES100 z1.11b R,4035.0623506948,1.1505325955,4035.1117360632,1.1505191122,4046.7124676737,0.5571563494,4046.7123799622,0.5571564252,4052.4966267665,0.5320758724,4052.4719551956,0.5320786761,0.4302107485,335.8424610601,0.4319750187,390.0244035468,3.5488031145,0.8700154784,0.0383613475,52.807060112,0.0559106455,0.7746500193
RSES100 z1.11b L1,1398.5842797194,2.4471843606,1398.6600151836,2.4467072505,2679.9976609851,4.0009748068,2679.9973239922,4.0009761914,3868.1986437875,4.1870576361,3868.1073015208,4.1877818386,63.8440419298,65.5958962703,0.3874917157,20.5837964589,4.7009506539,0.242303273,0.1945952129,13.0047332888,0.4243355805,0.8522832476
RSES100 z1.11c L1,740.3727760327,2.2747223268,740.4624590145,2.2737229491,2051.9990592275,6.6182312495,2051.9984337305,6.6182354447,3871.1277046681,7.5741296072,3870.9333937929,7.5767087652,80.8744936226,102.6292996819,0.2204950405,15.6738979134,6.7256512473,0.1217211412,0.3250410629,6.5451928922,0.7513809833,0.854749787
RSES100 z1.11c L2,3900.6684951009,14.9019658676,3900.7206135634,14.9008059396,3871.9621367309,11.3533549634,3871.9620325473,11.3533561302,3857.1322525765,11.4136186187,3857.1052292091,11.4142893806,-1.128720502,12.98834611,0.3524838643,13.7301741235,8.9051754784,0.8314192273,0.5092054749,44.2997679681,1.1433753672,0.8537534125
RSES100 z1.11d R,3908.5535958268,3.3423061362,3908.606167085,3.3422709177,3970.3356932651,1.2633507903,3970.3355987015,1.2633509221,4001.6998043626,0.7699233309,4001.6728474071,0.7699399936,2.3276660692,22.4927503054,0.3281986034,24.3717881232,0.6306084011,0.8336757001,0.1140378003,48.9081848512,0.1269650888,0.914167237
RSES100 z1.11d L1,2023.81173783,0,2023.8595434095,0,3399.9661935217,0,3399.9660276854,0,4354.2287138439,3.0303736412,4354.1881492289,3.0302476367,53.5207755303,18.2667597542,1.1220898573,10.8100856077,1.6220916457,0.3688229523,0,27.458774815,0,-1.0502458538
RSES100 z1.11d L2,3771.09709526,19.0362329044,3771.1513062613,19.03497296,3902.4376342386,12.7013471296,3902.4375331354,12.7013483959,3970.6217711316,11.9041066756,3970.5931794154,11.9048981828,5.0250234692,5.7068154682,0.3048753228,5.8413086279,4.3480346217,0.7949907099,0.6667057647,45.6799905282,1.2782761093,0.8487816365
RSES100 z1.12b L2,3865.2734621959,7.8874474232,3865.3249526163,7.8870282694,3920.7825023149,4.8868947265,3920.782403022,4.8868952084,3949.2957013788,4.5196377506,3949.2689883453,4.5199110147,2.1275246408,17.2877189135,0.3952173797,18.4921372401,4.9612300395,0.8214056411,0.2712964983,46.5310199568,0.4916292085,0.8414994032
RSES100 z1.18 R,4058.2568229493,1.0425764341,4058.3064036993,1.0425713518,4065.1171225557,0.5031878773,4065.1170364197,0.5031879494,4068.5071459114,0.5072390247,4068.4825045983,0.5072420064,0.2519430984,640.40760404,0.4140370819,749.4947389859,1.2028866889,0.8767560495,0.0346191687,53.7912501998,0.0504777389,0.7398697438
