analysis,Sc,Ti,Mn,Fe,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Ir,Pb,Th,U,teaconc,Age206Pb238U,Age206Pb238U_sigma,Age206Pb238Uu,Age206Pb238Uu_sigma,Age207Pb206Pb,Age207Pb206Pb_sigma,Age207Pb206Pbu,Age207Pb206Pbu_sigma,Age207Pb235U,Age207Pb235U_sigma,Age207Pb235Uu,Age207Pb235Uu_sigma,Corr6875,Discordance,Pbcpg,Pbradpg,Th_U,Upg,r206Pb_238U,r206Pb_238U_2sigma,r207Pb_235U,r207Pb_235U_2sigma,Pbc,Pbrad,fragment,zircon,L,F,Z
RSES58 z3.4a L1,5485.04,0,NaN,NaN,NaN,7953.88,433116,28.8633,NaN,20.4768,601.719,33.3775,219.689,170.972,55.8198,381.153,91.7129,669.247,170.18,608.213,142.711,804.884,178.835,8198.5,4.02642,NaN,55810.4,36901.2,98452.2,135259,2208.72,1.57104,2208.65,1.57115,3917.24,1.45318,3917.3,1.45306,3212.46,1.50342,3212.46,1.50342,0.831838,43.618,4.47537,65.6414,0.374814,123.689,0.408643,0.0840091,22.6602,0.154598,3562.23,52248.2,RSES58 z3.4a,RSES58 z3.4,1,25,12
RSES58 z3.4a L2,4918.84,0,NaN,NaN,NaN,3905.39,472592,28.584,NaN,92.6903,275.791,41.1303,196.647,65.6659,34.3531,125.499,31.4474,244.23,85.57,346.162,86.7919,517.183,124.597,8702.05,3.956,NaN,10849.6,3430.17,9075.85,187943,3668.62,4.46368,3668.57,4.46403,3982.26,3.11356,3982.29,3.11335,3874.14,3.23033,3874.14,3.23033,0.847761,7.87793,15.197,78.8397,0.377945,78.663,0.766667,0.159559,44.3971,0.325305,1753.38,9096.24,RSES58 z3.4a,RSES58 z3.4,2,25,12
RSES58 z3.4b L1,3741.97,0,NaN,NaN,NaN,14366.4,413137,36.4459,NaN,29.4354,977.327,50.2969,325.868,270.76,78.2927,802.305,189.314,1337.95,299.65,1003.3,185.509,1244.23,235.241,8255.48,3.78546,NaN,65049.9,49310.5,163493,256683,1712.62,0.942463,1712.55,0.942527,3770.98,1.19478,3771.05,1.19467,2835.12,1.20433,2835.12,1.20432,0.864419,54.587,7.63806,168.159,0.301607,441.838,0.304306,0.0626637,15.3164,0.126352,2826.3,62223.6,RSES58 z3.4b,RSES58 z3.4,1,26,12
RSES58 z3.4b L2,3163.78,0,NaN,NaN,NaN,4326.65,472856,3.56132,NaN,16.1938,35.3542,10.325,72.0461,49.0869,32.318,150.688,39.1405,315.466,94.8356,368.571,83.3873,519.914,116.157,8889.48,1.53955,NaN,NaN,4725.2,NaN,277713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,RSES58 z3.4b,RSES58 z3.4,2,26,12
RSES58 z3.4c L1,11458.6,0.849061,NaN,NaN,NaN,5177.91,465287,7.44891,NaN,6.05045,65.7202,4.80183,31.2298,27.6123,15.804,92.0054,36.0815,261.44,107.738,426.443,151.804,616.725,186.594,8258.08,4.00272,NaN,9183.99,3467.64,6442.09,69516.8,3529.98,10.103,3529.93,10.1039,4052.48,6.95251,4052.51,6.95201,3870.91,7.42656,3870.91,7.42656,0.863185,12.8952,10.1694,23.3421,0.538278,23.5066,0.729078,0.371684,44.2529,0.747933,2786.97,6397.02,RSES58 z3.4c,RSES58 z3.4,1,27,12
RSES58 z3.4c L2,11273,0,NaN,NaN,NaN,4163.09,468571,6.43469,NaN,8.19706,31.3948,5.11633,28.5394,21.6129,13.9897,77.148,30.1857,219.586,93.6719,371.184,137.649,551.02,169.666,8378.19,10.8406,NaN,4419.89,1545.65,2592.06,72611.4,3974.22,11.4536,3974.18,11.4545,4057.9,7.09509,4057.92,7.09463,4030,7.61359,4030,7.61359,0.85802,2.06373,9.20797,20.1554,0.596302,17.2203,0.852436,0.386106,51.9288,0.764264,1386.02,3033.87,RSES58 z3.4c,RSES58 z3.4,2,27,12
RSES58 z3.4d L1,7374.36,0,NaN,NaN,NaN,16489.2,412760,43.9558,NaN,43.7971,884.336,44.4491,275.209,252.758,53.6074,800.251,189.065,1353.21,341.368,1213.33,240.095,1460.43,283.325,7547.25,6.89343,NaN,42113,44103.6,81789.8,115628,1717.63,3.26304,1717.57,3.26355,3980.51,4.14639,3980.58,4.14577,2971.41,4.213,2971.41,4.213,0.855363,56.8514,14.5623,60.1794,0.539231,145.16,0.305319,0.216405,17.6602,0.438412,8205.09,33907.9,RSES58 z3.4d,RSES58 z3.4,1,28,12
RSES58 z3.4d L2,9953.66,6.45233,NaN,NaN,NaN,7594.87,458313,8.11475,NaN,12.3426,107.794,13.3472,81.2551,63.441,17.5212,173.22,55.0332,463.719,160.112,653.808,181.132,922.103,231.596,8701.19,3.30689,NaN,17100.3,8004.48,13680.8,82944.3,3564.63,5.34385,3564.59,5.34429,4083.24,3.46204,4083.26,3.46178,3904.04,3.73975,3904.04,3.73975,0.854801,12.7025,11.7816,52.0484,0.585087,51.0661,0.738398,0.195162,45.7539,0.376359,3156.33,13944,RSES58 z3.4d,RSES58 z3.4,2,28,12
RSES58 z3.4e L1,2846.51,0,NaN,NaN,NaN,9960.19,445579,23.0432,NaN,13.7586,415.383,24.466,169.586,146.981,43.1219,437.378,105.68,796.098,200.935,715.79,138.973,922.493,178.198,7669.29,3.5102,NaN,25379.8,25456.5,43690.7,291790,2262.96,2.86976,2262.9,2.8698,3871.38,1.01841,3871.43,1.01834,3210.75,1.73048,3210.75,1.73048,0.928907,41.5487,3.71626,117.589,0.582651,208.825,0.420547,0.150373,22.6203,0.17796,777.523,24602.3,RSES58 z3.4e,RSES58 z3.4,1,29,12
RSES58 z3.4e L2,4518.71,0,NaN,NaN,NaN,5723.82,470842,4.48455,NaN,4.02384,28.4928,5.5628,51.3027,49.9108,27.8165,173.437,47.9528,388.44,122.482,483.263,109.033,658.926,145.366,8539.1,2.06338,NaN,7928.6,3943.69,6818.45,202402,3885.19,1.75298,3885.15,1.75303,3969.58,0.903273,3969.6,0.903235,3941.04,0.964641,3941.04,0.964641,0.804993,2.12761,3.39022,78.5777,0.578385,70.4908,0.827028,0.0600736,47.4887,0.0970032,327.93,7600.67,RSES58 z3.4e,RSES58 z3.4,2,29,12
