,Blank-1,,,,,,,,,,,,,,TEA-5,,,,,,,,,,,,,,TEA-4,,,,,,,,,,,,,,TEA-3,,,,,,,,,,,,,,TEA-2,,,,,,,,,,,,,,TEA-1,,,,,,,,,,,,,,TEA-0,,,,,,,,,,,,,,Blank-2,,,,,,,,,,,,,,RSES58 z3.4a L1,,,,,,,,,,,,,,RSES58 z3.4a L2,,,,,,,,,,,,,,RSES58 z3.4b L1,,,,,,,,,,,,,,RSES58 z3.4b L2,,,,,,,,,,,,,,RSES58 z3.4c L1,,,,,,,,,,,,,,RSES58 z3.4c L2,,,,,,,,,,,,,,RSES58 z3.4d L1,,,,,,,,,,,,,,RSES58 z3.4d L2,,,,,,,,,,,,,,Blank-3,,,,,,,,,,,,,,RSES58 z3.4e L1,,,,,,,,,,,,,,RSES58 z3.4e L2,,,,,,,,,,,,,,RSES58 z4.19a L1,,,,,,,,,,,,,,RSES58 z4.19a L2,,,,,,,,,,,,,,RSES58 z4.19b L1,,,,,,,,,,,,,,RSES58 z4.19b L2,,,,,,,,,,,,,,RSES58 z4.19c L1,,,,,,,,,,,,,,RSES58 z4.19c L2,,,,,,,,,,,,,,Blank-4,,,,,,,,,,,,,,RSES58 z4.19d L1,,,,,,,,,,,,,,RSES58 z4.19d L2,,,,,,,,,,,,,,RSES58 z4.19e L1,,,,,,,,,,,,,,RSES58 z4.19e L2,,,,,,,,,,,,,,RSES58 z6.10a L1,,,,,,,,,,,,,,RSES58 z6.10a L2,,,,,,,,,,,,,,RSES58 z6.10b L1,,,,,,,,,,,,,,RSES58 z6.10b L2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isotope,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,
,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sc45(LR),-,,267744.6,,19321.8,,7.22,,,,,,,,-,,295710.6,,35067.7,,11.86,,,,,,,,-,,253310.0,,20208.0,,7.98,,,,,,,,-,,258483.6,,21939.5,,8.49,,,,,,,,-,,300092.0,,17102.9,,5.70,,,,,,,,-,,472609.6,,13378.5,,2.83,,,,,,,,-,,1113650.4,,44319.2,,3.98,,,,,,,,-,,106819.2,,3040.3,,2.85,,,,,,,,-,,192995.2,,1675.6,,0.87,,1495.763,ppt,1495.763,ppt,1.35,,-,,223448.8,,23891.7,,10.69,,1863.835,ppt,1863.835,ppt,15.49,,-,,229460.4,,17099.0,,7.45,,1936.493,ppt,1936.493,ppt,10.67,,-,,215802.2,,20664.2,,9.58,,1771.416,ppt,1771.416,ppt,14.10,,-,,202113.6,,5289.2,,2.62,,1605.971,ppt,1605.971,ppt,3.98,,-,,205780.6,,13296.2,,6.46,,1650.292,ppt,1650.292,ppt,9.74,,-,,211475.0,,6128.9,,2.90,,1719.116,ppt,1719.116,ppt,4.31,,-,,206957.4,,9962.0,,4.81,,1664.515,ppt,1664.515,ppt,7.23,,-,,129983.9,,3339.4,,2.57,,,,,,,,-,,230953.2,,24461.4,,10.59,,1674.560,ppt,1674.560,ppt,17.66,,-,,244967.6,,12380.6,,5.05,,1843.942,ppt,1843.942,ppt,8.11,,-,,219804.4,,23435.2,,10.66,,1539.812,ppt,1539.812,ppt,18.39,,-,,220550.2,,25881.0,,11.73,,1548.826,ppt,1548.826,ppt,20.20,,-,,214545.0,,6557.1,,3.06,,1476.245,ppt,1476.245,ppt,5.37,,-,,234196.2,,55158.5,,23.55,,1713.755,ppt,1713.755,ppt,38.90,,-,,204987.0,,19314.5,,9.42,,1360.724,ppt,1360.724,ppt,17.16,,-,,211410.6,,16138.7,,7.63,,1438.362,ppt,1438.362,ppt,13.56,,-,,113914.8,,4301.8,,3.78,,,,,,,,-,,218137.0,,6954.3,,3.19,,1713.875,ppt,1713.875,ppt,4.90,,-,,180745.6,,5638.8,,3.12,,1261.951,ppt,1261.951,ppt,5.40,,-,,191284.8,,16835.4,,8.80,,1389.331,ppt,1389.331,ppt,14.65,,-,,200778.6,,17323.3,,8.63,,1504.076,ppt,1504.076,ppt,13.92,,-,,205788.8,,4247.7,,2.06,,1564.631,ppt,1564.631,ppt,3.28,,-,,209143.2,,11373.7,,5.44,,1605.174,ppt,1605.174,ppt,8.56,,-,,189716.4,,21606.9,,11.39,,1370.375,ppt,1370.375,ppt,19.06,,-,,181143.8,,5160.5,,2.85,,1266.764,ppt,1266.764,ppt,4.92,,
Ti48(LR),-,,4372.0,,42.6,,0.97,,,,,,,,-,,38735.0,,1050.3,,2.71,,,,,,,,-,,32934.8,,1937.1,,5.88,,,,,,,,-,,30815.3,,1195.3,,3.88,,,,,,,,-,,31114.5,,2235.7,,7.19,,,,,,,,-,,32178.1,,2980.8,,9.26,,,,,,,,-,,25807.6,,1241.0,,4.81,,,,,,,,-,,1316.6,,77.9,,5.92,,,,,,,,-,,39941.1,,897.5,,2.25,,-112.415,ppt,-112.415,ppt,9.98,,-,,144842.2,,1940.6,,1.34,,-1423.917,ppt,-1423.917,ppt,1.70,,-,,41642.2,,564.2,,1.35,,-133.683,ppt,-133.683,ppt,5.28,,-,,42046.4,,2512.7,,5.98,,-138.736,ppt,-138.736,ppt,22.64,,-,,33092.7,,840.9,,2.54,,-26.795,ppt,-26.795,ppt,39.24,,-,,40260.5,,6.8,,0.02,,-116.408,ppt,-116.408,ppt,0.07,,-,,43045.0,,2399.2,,5.57,,-151.221,ppt,-151.221,ppt,19.84,,-,,33065.9,,4853.5,,14.68,,-26.460,ppt,-26.460,ppt,229.33,,-,,1797.4,,70.9,,3.94,,,,,,,,-,,40048.9,,3676.2,,9.18,,-107.752,ppt,-107.752,ppt,42.65,,-,,34963.6,,556.8,,1.59,,-44.174,ppt,-44.174,ppt,15.76,,-,,38770.2,,1661.0,,4.28,,-91.765,ppt,-91.765,ppt,22.63,,-,,36419.4,,194.8,,0.53,,-62.375,ppt,-62.375,ppt,3.90,,-,,35977.3,,1394.4,,3.88,,-56.848,ppt,-56.848,ppt,30.67,,-,,85829.1,,4258.9,,4.96,,-680.108,ppt,-680.108,ppt,7.83,,-,,38571.3,,1415.5,,3.67,,-89.277,ppt,-89.277,ppt,19.82,,-,,39189.3,,1408.4,,3.59,,-97.005,ppt,-97.005,ppt,18.15,,-,,1589.5,,159.3,,10.03,,,,,,,,-,,37861.8,,1242.4,,3.28,,-83.007,ppt,-83.007,ppt,18.71,,-,,34331.5,,968.4,,2.82,,-38.871,ppt,-38.871,ppt,31.15,,-,,26527.1,,478.7,,1.80,,58.702,ppt,58.702,ppt,10.20,,-,,27372.6,,2695.5,,9.85,,48.131,ppt,48.131,ppt,70.02,,-,,78742.6,,2392.8,,3.04,,-594.110,ppt,-594.110,ppt,5.04,,-,,40879.4,,869.5,,2.13,,-120.734,ppt,-120.734,ppt,9.00,,-,,27926.8,,1698.8,,6.08,,41.203,ppt,41.203,ppt,51.55,,-,,27708.4,,801.6,,2.89,,43.933,ppt,43.933,ppt,22.81,,
Ti49(LR),-,,2959.4,,14.1,,0.48,,,,,,,,-,,17705.7,,999.5,,5.64,,,,,,,,-,,14821.3,,464.2,,3.13,,,,,,,,-,,14367.8,,800.8,,5.57,,,,,,,,-,,13728.8,,365.0,,2.66,,,,,,,,-,,12693.9,,311.8,,2.46,,,,,,,,-,,6498.6,,379.0,,5.83,,,,,,,,-,,745.4,,0.3,,0.05,,,,,,,,-,,15091.9,,563.5,,3.73,,-18.509,ppt,-18.509,ppt,33.79,,-,,23450.8,,503.4,,2.15,,-111.299,ppt,-111.299,ppt,5.02,,-,,16700.8,,315.4,,1.89,,-36.368,ppt,-36.368,ppt,9.63,,-,,16497.7,,524.5,,3.18,,-34.114,ppt,-34.114,ppt,17.07,,-,,13403.0,,244.4,,1.82,,0.238,ppt,0.238,ppt,1139.15,,-,,13663.5,,138.3,,1.01,,-2.654,ppt,-2.654,ppt,57.86,,-,,14445.3,,95.7,,0.66,,-11.332,ppt,-11.332,ppt,9.38,,-,,13230.1,,389.8,,2.95,,2.158,ppt,2.158,ppt,200.48,,-,,1226.5,,21.3,,1.74,,,,,,,,-,,16294.7,,754.9,,4.63,,-26.521,ppt,-26.521,ppt,31.60,,-,,15583.0,,194.9,,1.25,,-18.621,ppt,-18.621,ppt,11.62,,-,,14580.7,,31.9,,0.22,,-7.494,ppt,-7.494,ppt,4.72,,-,,14803.7,,616.7,,4.17,,-9.970,ppt,-9.970,ppt,68.67,,-,,14292.6,,156.0,,1.09,,-4.296,ppt,-4.296,ppt,40.30,,-,,17931.3,,375.8,,2.10,,-44.688,ppt,-44.688,ppt,9.34,,-,,13886.7,,418.0,,3.01,,0.210,ppt,0.210,ppt,2208.90,,-,,13503.3,,747.8,,5.54,,4.465,ppt,4.465,ppt,185.90,,-,,928.5,,145.2,,15.64,,,,,,,,-,,13585.8,,808.0,,5.95,,0.242,ppt,0.242,ppt,3706.42,,-,,12896.9,,1017.0,,7.89,,7.889,ppt,7.889,ppt,143.10,,-,,11849.5,,492.5,,4.16,,19.516,ppt,19.516,ppt,28.01,,-,,10917.5,,102.7,,0.94,,29.862,ppt,29.862,ppt,3.82,,-,,16916.3,,1761.5,,10.41,,-36.729,ppt,-36.729,ppt,53.24,,-,,15477.9,,698.1,,4.51,,-20.761,ppt,-20.761,ppt,37.33,,-,,11521.3,,56.8,,0.49,,23.159,ppt,23.159,ppt,2.72,,-,,11671.6,,432.3,,3.70,,21.491,ppt,21.491,ppt,22.33,,
Y89(LR),-,,9.2,,1.2,,12.86,,,,,,,,-,,2208.2,,198.3,,8.98,,,,,,,,-,,5934.8,,262.0,,4.41,,,,,,,,-,,15530.5,,205.6,,1.32,,,,,,,,-,,45079.9,,528.8,,1.17,,,,,,,,-,,146021.8,,442.1,,0.30,,,,,,,,-,,464961.6,,12403.2,,2.67,,,,,,,,-,,2.8,,3.9,,141.42,,,,,,,,-,,91949.0,,259.4,,0.28,,2169.013,ppt,2169.013,ppt,0.27,,-,,61035.1,,156.3,,0.26,,1479.821,ppt,1479.821,ppt,0.24,,-,,328144.0,,486.5,,0.15,,7434.721,ppt,7434.721,ppt,0.15,,-,,103320.0,,1694.2,,1.64,,2422.517,ppt,2422.517,ppt,1.56,,-,,27209.1,,890.1,,3.27,,725.709,ppt,725.709,ppt,2.73,,-,,21994.3,,216.2,,0.98,,609.451,ppt,609.451,ppt,0.79,,-,,167079.6,,971.8,,0.58,,3843.967,ppt,3843.967,ppt,0.56,,-,,51626.3,,600.1,,1.16,,1270.062,ppt,1270.062,ppt,1.05,,-,,3.1,,4.4,,141.42,,,,,,,,-,,257484.4,,1103.7,,0.43,,5859.435,ppt,5859.435,ppt,0.42,,-,,99426.5,,2573.2,,2.59,,2335.708,ppt,2335.708,ppt,2.46,,-,,46937.3,,486.2,,1.04,,1165.518,ppt,1165.518,ppt,0.93,,-,,39737.7,,14.2,,0.04,,1005.013,ppt,1005.013,ppt,0.03,,-,,36739.6,,10.5,,0.03,,938.172,ppt,938.172,ppt,0.02,,-,,27008.6,,549.6,,2.04,,721.230,ppt,721.230,ppt,1.70,,-,,50702.5,,564.4,,1.11,,1249.461,ppt,1249.461,ppt,1.01,,-,,20249.6,,138.2,,0.68,,570.546,ppt,570.546,ppt,0.54,,-,,8.3,,11.8,,141.42,,,,,,,,-,,11756.8,,233.9,,1.99,,381.092,ppt,381.092,ppt,1.37,,-,,9178.9,,244.4,,2.66,,323.621,ppt,323.621,ppt,1.68,,-,,3803.4,,46.0,,1.21,,203.780,ppt,203.780,ppt,0.50,,-,,153.8,,47.7,,31.04,,122.415,ppt,122.415,ppt,0.87,,-,,211469.6,,1293.2,,0.61,,4833.470,ppt,4833.470,ppt,0.60,,-,,49818.8,,500.5,,1.00,,1229.644,ppt,1229.644,ppt,0.91,,-,,80.6,,36.2,,44.95,,120.785,ppt,120.785,ppt,0.67,,-,,73.3,,9.4,,12.86,,120.622,ppt,120.622,ppt,0.17,,
