,Blank-1,,,,,,,,,,,,,,TEA-5,,,,,,,,,,,,,,TEA-4,,,,,,,,,,,,,,TEA-3,,,,,,,,,,,,,,TEA-2,,,,,,,,,,,,,,TEA-1,,,,,,,,,,,,,,TEA-0,,,,,,,,,,,,,,Blank-2,,,,,,,,,,,,,,RSES60 z16.16b L1,,,,,,,,,,,,,,RSES60 z16.16b L2,,,,,,,,,,,,,,RSES60 z16.16b R,,,,,,,,,,,,,,RSES60 z16.16c L1,,,,,,,,,,,,,,RSES60 z16.16c L2,,,,,,,,,,,,,,RSES60 z16.16c R,,,,,,,,,,,,,,RSES60 z16.16d L1,,,,,,,,,,,,,,RSES60 z16.16d L2,,,,,,,,,,,,,,Blank-3,,,,,,,,,,,,,,RSES60 z16.16d R,,,,,,,,,,,,,,RSES60 z18.11 L1,,,,,,,,,,,,,,RSES60 z18.11 L2,,,,,,,,,,,,,,RSES60 z18.11 R,,,,,,,,,,,,,,Blank-4,,,,,,,,,,,,,,RSES100 z9.14dg L2,,,,,,,,,,,,,,RSES100 z9.14dg R,,,,,,,,,,,,,,RSES100 z17.16 L1,,,,,,,,,,,,,,RSES100 z17.16 L2,,,,,,,,,,,,,,RSES100 z17.16 R,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isotope,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,Error,,Intensity AVG,,Intensity STD,,Intensity RSD,,Concentration AVG,,Concentration AVG,,Concentration RSD,,
,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,,,[cps],,[cps],,[%],,,,,,[%],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sc45(LR),-,,234249.6,,25465.5,,10.87,,,,,,,,-,,281942.8,,30351.9,,10.77,,,,,,,,-,,298140.4,,23644.0,,7.93,,,,,,,,-,,300456.0,,24101.6,,8.02,,,,,,,,-,,395814.8,,44325.4,,11.20,,,,,,,,-,,565002.4,,16530.5,,2.93,,,,,,,,-,,1018745.6,,19821.6,,1.95,,,,,,,,-,,315490.0,,6073.8,,1.93,,,,,,,,-,,300965.6,,8951.4,,2.97,,-970.337,ppt,-970.337,ppt,12.98,,-,,300156.8,,11596.6,,3.86,,-981.716,ppt,-981.716,ppt,16.62,,-,,285180.0,,7643.5,,2.68,,-1192.414,ppt,-1192.414,ppt,9.02,,-,,354460.4,,26938.5,,7.60,,-217.756,ppt,-217.756,ppt,174.04,,-,,351826.8,,28593.7,,8.13,,-254.806,ppt,-254.806,ppt,157.87,,-,,289933.6,,565.7,,0.20,,-1125.539,ppt,-1125.539,ppt,0.71,,-,,278472.0,,3383.9,,1.22,,-1286.784,ppt,-1286.784,ppt,3.70,,-,,267982.0,,7820.6,,2.92,,-1434.361,ppt,-1434.361,ppt,7.67,,-,,254287.0,,7911.4,,3.11,,,,,,,,-,,257694.0,,5435.7,,2.11,,-718.073,ppt,-718.073,ppt,10.65,,-,,390286.4,,18986.7,,4.86,,1147.278,ppt,1147.278,ppt,23.28,,-,,415443.6,,3384.5,,0.81,,1501.197,ppt,1501.197,ppt,3.17,,-,,575776.8,,10590.8,,1.84,,3756.814,ppt,3756.814,ppt,3.97,,-,,267129.4,,400.2,,0.15,,,,,,,,-,,262451.8,,3816.4,,1.45,,-831.809,ppt,-831.809,ppt,6.45,,-,,287061.6,,9605.3,,3.35,,-485.591,ppt,-485.591,ppt,27.83,,-,,277897.4,,5479.5,,1.97,,-614.516,ppt,-614.516,ppt,12.54,,-,,275740.4,,2214.7,,0.80,,-644.861,ppt,-644.861,ppt,4.83,,-,,369777.6,,2978.9,,0.81,,678.083,ppt,678.083,ppt,6.18,,
Ti48(LR),-,,11633.3,,815.5,,7.01,,,,,,,,-,,14985.6,,1930.7,,12.88,,,,,,,,-,,17559.8,,577.2,,3.29,,,,,,,,-,,14781.7,,1520.7,,10.29,,,,,,,,-,,16066.2,,2212.1,,13.77,,,,,,,,-,,14471.8,,498.7,,3.45,,,,,,,,-,,12965.6,,491.5,,3.79,,,,,,,,-,,13786.6,,990.1,,7.18,,,,,,,,-,,30015.7,,2406.2,,8.02,,-399.183,ppt,-399.183,ppt,20.14,,-,,21966.4,,1550.0,,7.06,,-130.252,ppt,-130.252,ppt,39.76,,-,,19970.9,,1329.0,,6.65,,-63.581,ppt,-63.581,ppt,69.83,,-,,29609.8,,1240.4,,4.19,,-385.622,ppt,-385.622,ppt,10.75,,-,,24506.2,,295.8,,1.21,,-215.109,ppt,-215.109,ppt,4.59,,-,,18937.8,,1357.4,,7.17,,-29.067,ppt,-29.067,ppt,156.03,,-,,29705.6,,1490.1,,5.02,,-388.822,ppt,-388.822,ppt,12.80,,-,,24019.9,,1846.0,,7.69,,-198.861,ppt,-198.861,ppt,31.02,,-,,14587.5,,1168.4,,8.01,,,,,,,,-,,24372.8,,1418.5,,5.82,,-183.893,ppt,-183.893,ppt,25.77,,-,,54412.9,,3305.2,,6.07,,-1187.550,ppt,-1187.550,ppt,9.30,,-,,67594.9,,1471.2,,2.18,,-1627.967,ppt,-1627.967,ppt,3.02,,-,,44035.4,,1780.1,,4.04,,-840.830,ppt,-840.830,ppt,7.07,,-,,17648.1,,1621.0,,9.18,,,,,,,,-,,26381.0,,1357.9,,5.15,,-148.735,ppt,-148.735,ppt,30.50,,-,,227627.4,,2058.8,,0.90,,-6872.485,ppt,-6872.485,ppt,1.00,,-,,29365.2,,438.5,,1.49,,-248.438,ppt,-248.438,ppt,5.90,,-,,24098.0,,1300.8,,5.40,,-72.457,ppt,-72.457,ppt,59.98,,-,,30209.9,,2823.3,,9.35,,-276.659,ppt,-276.659,ppt,34.10,,
Ti49(LR),-,,11051.8,,947.3,,8.57,,,,,,,,-,,8684.6,,826.1,,9.51,,,,,,,,-,,8646.8,,687.3,,7.95,,,,,,,,-,,7916.7,,1285.5,,16.24,,,,,,,,-,,7707.8,,925.7,,12.01,,,,,,,,-,,6003.2,,701.4,,11.68,,,,,,,,-,,1751.3,,71.2,,4.07,,,,,,,,-,,8329.6,,552.0,,6.63,,,,,,,,-,,9691.8,,712.1,,7.35,,-57.954,ppt,-57.954,ppt,18.31,,-,,9480.4,,391.7,,4.13,,-54.803,ppt,-54.803,ppt,10.65,,-,,9024.5,,437.8,,4.85,,-48.009,ppt,-48.009,ppt,13.59,,-,,10190.4,,876.1,,8.60,,-65.384,ppt,-65.384,ppt,19.97,,-,,10422.1,,690.9,,6.63,,-68.836,ppt,-68.836,ppt,14.96,,-,,9389.7,,619.6,,6.60,,-53.451,ppt,-53.451,ppt,17.27,,-,,10195.5,,434.4,,4.26,,-65.460,ppt,-65.460,ppt,9.89,,-,,9628.8,,452.2,,4.70,,-57.015,ppt,-57.015,ppt,11.82,,-,,8357.3,,975.7,,11.68,,,,,,,,-,,9971.3,,245.7,,2.46,,-61.706,ppt,-61.706,ppt,5.93,,-,,13814.3,,1243.1,,9.00,,-118.975,ppt,-118.975,ppt,15.57,,-,,15867.1,,662.6,,4.18,,-149.566,ppt,-149.566,ppt,6.60,,-,,13542.3,,96.2,,0.71,,-114.923,ppt,-114.923,ppt,1.25,,-,,10500.2,,630.2,,6.00,,,,,,,,-,,11515.0,,548.5,,4.76,,-52.777,ppt,-52.777,ppt,15.49,,-,,26446.7,,1079.8,,4.08,,-275.293,ppt,-275.293,ppt,5.85,,-,,11137.2,,42.8,,0.38,,-47.147,ppt,-47.147,ppt,1.35,,-,,11285.8,,744.3,,6.59,,-49.361,ppt,-49.361,ppt,22.47,,-,,13809.3,,210.0,,1.52,,-86.967,ppt,-86.967,ppt,3.60,,
Mn55(LR),-,,4286.2,,81.9,,1.91,,,,,,,,-,,4482.5,,160.3,,3.58,,,,,,,,-,,4334.1,,49.8,,1.15,,,,,,,,-,,4213.1,,156.6,,3.72,,,,,,,,-,,4127.5,,106.7,,2.59,,,,,,,,-,,5640.6,,188.7,,3.34,,,,,,,,-,,9475.2,,92.6,,0.98,,,,,,,,-,,3090.5,,57.0,,1.84,,,,,,,,-,,14592.6,,398.9,,2.73,,153.462,ppt,153.462,ppt,3.39,,-,,4213.3,,35.6,,0.84,,18.024,ppt,18.024,ppt,2.58,,-,,3495.8,,395.2,,11.31,,8.661,ppt,8.661,ppt,59.54,,-,,5127.0,,138.9,,2.71,,29.947,ppt,29.947,ppt,6.05,,-,,4804.8,,160.2,,3.33,,25.742,ppt,25.742,ppt,8.12,,-,,3173.6,,110.3,,3.48,,4.457,ppt,4.457,ppt,32.30,,-,,6421.1,,131.8,,2.05,,46.834,ppt,46.834,ppt,3.67,,-,,4686.5,,71.2,,1.52,,24.199,ppt,24.199,ppt,3.84,,-,,3155.9,,49.8,,1.58,,,,,,,,-,,11782.0,,370.5,,3.14,,115.933,ppt,115.933,ppt,4.17,,-,,5648.2,,142.4,,2.52,,35.894,ppt,35.894,ppt,5.18,,-,,7690.1,,67.7,,0.88,,62.538,ppt,62.538,ppt,1.41,,-,,11419.3,,968.8,,8.48,,111.201,ppt,111.201,ppt,11.37,,-,,2798.4,,284.8,,10.18,,,,,,,,-,,3541.1,,153.1,,4.32,,13.063,ppt,13.063,ppt,15.29,,-,,82356.5,,1432.7,,1.74,,1041.512,ppt,1041.512,ppt,1.80,,-,,3276.7,,42.6,,1.30,,9.613,ppt,9.613,ppt,5.79,,-,,4122.6,,199.4,,4.84,,20.652,ppt,20.652,ppt,12.60,,-,,2894.1,,106.7,,3.69,,4.621,ppt,4.621,ppt,30.13,,
